source_id,publisher,title,url,publication_date,language,source_type,confidence,notes
SRC-000013,U.S. Department of Justice,Beverly Hills auctioneer charged in rhinoceros horn smuggling conspiracy,https://www.justice.gov/usao-sdny/pr/beverly-hills-auctioneer-charged-rhinoceros-horn-smuggling-conspiracy,2017-02-22,English,Official enforcement,High,Indictment is an allegation; guilt should not be inferred from this source alone.
SRC-000014,U.S. Department of Justice,Long Island man sentenced for trafficking rhinoceros horns,https://www.justice.gov/archives/opa/pr/long-island-man-sentenced-two-years-trafficking-rhinoceros-horns,2017-09-18,English,Official enforcement,High,
SRC-000015,U.S. Department of Justice,Irish national sentenced for trafficking endangered rhinoceros horn libation cup,https://www.justice.gov/archives/opa/pr/irish-national-sentenced-18-months-prison-trafficking-endangered-rhinoceros-horn-libation-cup,2017-11-14,English,Official enforcement,High,
SRC-000016,U.S. Department of State,Xaysavang Network,https://www.state.gov/transnational-organized-crime-rewards-program/xaysavang-network,2013-11-13,English,Government / transnational organized crime reward,High,Reward-program and intelligence designation; not itself a conviction.
SRC-000017,Environmental Investigation Agency,Vixay Keosavang: an untouchable kingpin of wildlife crime?,https://eia-international.org/blog/vixay-keosavang-an-untouchable-kingpin-of-wildlife-crime/,2014-02-01,English,NGO investigation,Medium,"NGO investigative reporting. This row records the reported connection, not a separate conviction of the company."
SRC-000018,VietnamNet,Wildlife trafficker gets 13 months in prison,https://vietnamnet.vn/en/wildlife-trafficker-gets-13-months-in-prison-E197592.html,2018-03-20,English,News,High,
SRC-000019,Wildlife Justice Commission,Wildlife Justice Commission publishes report detailing the downfall of one of Vietnam’s biggest wildlife traffickers,https://wildlifejustice.org/wildlife-justice-commission-publishes-new-report-detailing-the-downfall-of-one-of-vietnams-biggest-wildlife-traffickers/,2022-09-28,English,NGO investigation / case reporting,High,
SRC-000020,Reuters,Vietnam jails man for 13 years for trafficking wildlife products,https://www.reuters.com/world/asia-pacific/vietnam-jails-man-13-years-trafficking-wildlife-products-2023-02-21/,2023-02-21,English,Major media,High,
SRC-000021,Education for Nature Vietnam,Hanoi: 7 years for the kingpin of a transnational wildlife trafficking network from Nghe An Province,https://env4wildlife.org/2025/05/16/hanoi-7-years-for-the-kingpin-of-a-transnational-wildlife-trafficking-network-from-nghe-an-province/,2025-05-16,English,NGO / court monitoring,High,
SRC-000022,Education for Nature Vietnam,Nghe An: ringleader in illegal trafficking of 2.8 tons of pangolin scales sentenced to 7 years,https://env4wildlife.org/2025/06/24/nghe-an-ringleader-in-illegal-trafficking-of-2-8-tons-of-pangolin-scales-sentenced-to-7-years-in-prison/,2025-06-24,English,NGO / court monitoring,High,
SRC-000023,Wildlife Justice Commission,Wildlife Justice Commission applauds conviction of Vietnamese pangolin scale traffickers,https://wildlifejustice.org/wildlife-justice-commission-applauds-conviction-of-vietnamese-pangolin-scale-traffickers/,2026-04-24,English,NGO / court monitoring,High,
SRC-000024,U.S. Department of Justice,Teo Boon Ching sentenced for large-scale trafficking in rhinoceros horns,https://www.justice.gov/usao-sdny/pr/teo-boon-ching-sentenced-18-months-prison-large-scale-trafficking-rhinoceros-horns,2023-09-19,English,Official enforcement,High,
SRC-000025,National Geographic,How investigators brought down a wildlife trafficking kingpin,https://www.nationalgeographic.com/animals/article/wildlife-trafficking-kingpin-boonchai-bach,2023-02-15,English,Major media / investigative reporting,Medium,Name variants appear across reporting; source wording and final case chronology should be checked before external publication.
SRC-000026,FOUR PAWS,Ruthless Czech tiger trader walks free after suspended sentence,https://www.four-paws.org/our-stories/press-releases/june-2019/ruthless-czech-tiger-trader-walks-free-after-suspended-sentence,2019-06-05,English,NGO / case reporting,High,
SRC-000027,Reuters,Chinese 'Ivory Queen' smuggler sentenced to 15 years in Tanzania,https://www.reuters.com/article/world/chinese-ivory-queen-smuggler-sentenced-to-15-years-jail-in-tanzania-idUSKCN1Q827G/,2019-02-19,English,Major media,High,
SRC-000028,U.S. Department of Justice,Wildlife trafficker from Uganda sentenced for large-scale trafficking in rhinoceros horns and elephant ivory,https://www.justice.gov/usao-sdny/pr/wildlife-trafficker-uganda-sentenced-63-months-large-scale-trafficking-rhinoceros-horns,2022-08-18,English,Official enforcement,High,
SRC-000029,U.S. Department of Justice,Wildlife trafficker sentenced for large-scale trafficking in rhinoceros horns and elephant ivory,https://www.justice.gov/usao-sdny/pr/wildlife-trafficker-sentenced-57-months-large-scale-trafficking-rhinoceros-horns-and,2022-12-15,English,Official enforcement,High,
SRC-000030,U.S. Department of Justice,Wildlife trafficker pleads guilty to large-scale trafficking in rhinoceros horns and elephant ivory,https://www.justice.gov/usao-sdny/pr/wildlife-trafficker-pleads-guilty-large-scale-trafficking-rhinoceros-horns-and-elephant,2022-06-16,English,Official enforcement,High,
SRC-000031,U.S. Department of Justice,Fifth defendant sentenced for large-scale trafficking in rhinoceros horns and elephant ivory,https://www.justice.gov/usao-sdny/pr/fifth-defendant-sentenced-48-months-prison-large-scale-trafficking-rhinoceros-horns,2023-05-11,English,Official enforcement,High,
SRC-000032,Wildlife Justice Commission,"After five years on the run, wildlife trafficking kingpin arrested in joint operation",https://wildlifejustice.org/after-five-years-on-the-run-wildlife-trafficking-kingpin-arrested-in-joint-operation-involving-wildlife-justice-commission/,2026-04-23,English,NGO / enforcement partnership reporting,High,Arrest and suspicion are not proof of guilt.
SRC-000033,Wildlife Justice Commission,Joint operation with NCS leads to arrest of fugitive suspected of involvement in major wildlife seizure,https://wildlifejustice.org/joint-operation-with-ncs-leads-to-arrest-of-fugitive-suspected-of-involvement-in-major-wildlife-seizure-of-january-2021/,2023-09-30,English,NGO / enforcement partnership reporting,High,Arrest-stage reporting; guilt is not established.
SRC-000034,Wildlife Justice Commission,Three Vietnamese and one Guinean charged with wildlife trafficking in Nigeria convicted and sentenced,https://wildlifejustice.org/three-vietnamese-and-one-guinean-charged-with-wildlife-trafficking-in-nigeria-convicted-and-sentenced-to-six-years-imprisonment-or-fine-payments/,2023-07-21,English,NGO / court monitoring,High,
SRC-000035,Environmental Investigation Agency,"Yunhua Lin, notorious kingpin of wildlife crime syndicate, jailed for 14 years in Malawi",https://eia-international.org/news/yunhua-lin-notorious-kingpin-of-wildlife-crime-syndicate-is-jailed-for-14-years-in-malawi/,2021-09-28,English,NGO / court reporting,High,
SRC-000036,Wildlife Justice Commission,World Rhino Day 2024: progress and persistent challenges in the fight against rhino horn trafficking,https://wildlifejustice.org/world-rhino-day-2024-progress-and-persistent-challenges-in-the-fight-against-rhino-horn-trafficking/,2024-09-19,English,NGO / court monitoring,High,
SRC-000037,Save the Rhino International,Landmark case: rhino horn trafficker sentenced to 18 years,https://www.savetherhino.org/poaching-crisis/landmark-case-rhino-horn-trafficker-sentenced-to-18-years/,2025-01-18,English,NGO / court reporting,High,
SRC-000038,The Guardian,South Africa men sentenced in long-running rhino horn trafficking case,https://www.theguardian.com/world/2026/jun/18/south-africa-men-sentenced-rhino-horn-trafficking-case,2026-06-18,English,Major media,High,
SRC-000039,Financial Times,On the trail of South Africa's 'rhino baron',https://www.ft.com/content/f1de683f-6006-4652-82e7-95dc723a3c95,2026-03-24,English,Major media / court reporting,High,Pending criminal case. Hume denies the allegations; no conviction should be inferred.
SRC-000040,Mongabay,Two pangolin traffickers in South Africa sentenced to eight years in prison,https://news.mongabay.com/short-article/two-pangolin-traffickers-in-south-africa-sentenced-to-eight-years-in-prison/,2026-06-10,English,News / conservation reporting,High,
SRC-000041,Reuters,Kenya charges man with trading rhino horn years after ivory conviction overturned,https://www.reuters.com/business/environment/kenya-charges-man-trading-rhino-horn-years-after-conviction-ivory-smuggling-2025-09-16/,2025-09-16,English,Major media / court reporting,High,2025 rhino-horn charge is pending; defendant pleaded not guilty.
SRC-000042,U.S. Department of Justice,Two foreign nationals sentenced for trafficking ivory and rhinoceros horn,https://www.justice.gov/usao-wdwa/pr/two-foreign-nationals-sentenced-prison-trafficking-ivory-and-rhinoceros-horn-democratic,2022-11-01,English,Official enforcement,High,
SRC-000043,U.S. Department of Justice,Environmental Crimes Bulletin - October 2021,https://www.justice.gov/archives/enrd/blog/ecs-bulletin-october-2021,2021-10-01,English,Official enforcement bulletin,High,
SRC-000044,U.S. Department of Justice,Broward wildlife dealer and company sentenced for scheme to harvest and sell Florida turtles,https://www.justice.gov/usao-sdfl/pr/broward-wildlife-dealer-and-company-sentenced-scheme-harvest-and-sell-florida-turtles,2022-04-21,English,Official enforcement,High,
SRC-000045,U.S. Department of Justice,Environmental Crimes Bulletin - September 2022,https://www.justice.gov/archives/enrd/blog/ecs-bulletin-september-2022,2022-09-01,English,Official enforcement bulletin,High,Charge-stage reporting; guilt is not established.
SRC-000046,U.S. Department of Justice,"California man sentenced to 65 months for trafficking at least 1,700 animals into the United States",https://www.justice.gov/opa/pr/california-man-sentenced-65-months-prison-trafficking-least-1700-animals-united-states,2026-05-29,English,Official enforcement,High,
SRC-000047,U.S. Department of Justice,Environmental Crimes Bulletin - June 2023,https://www.justice.gov/archives/enrd/blog/ecs-bulletin-june-2023,2023-06-01,English,Official enforcement bulletin,High,
SRC-000048,U.S. Department of Justice,Environmental Crimes Bulletin - May 2023,https://www.justice.gov/archives/enrd/blog/ecs-bulletin-may-2023,2023-05-01,English,Official enforcement bulletin,High,
SRC-000049,U.S. Department of Justice,Lee County man sentenced for conspiring to smuggle turtles to Germany and Hong Kong,https://www.justice.gov/usao-sdfl/pr/lee-county-florida-man-sentenced-prison-conspiring-smuggle-turtles-germany-and-hong,2024-05-28,English,Official enforcement,High,
SRC-000050,U.S. Department of Justice,Luxury handbag company founder and co-conspirator sentenced for smuggling handbags made from protected wildlife,https://www.justice.gov/usao-sdfl/pr/luxury-handbag-company-founder-and-co-conspirator-sentenced-smuggling-handbags-made,2024-04-22,English,Official enforcement,High,
SRC-000051,U.S. Department of Justice,"Doc Antle, owner of Myrtle Beach Safari, sentenced for federal wildlife trafficking and money laundering charges",https://www.justice.gov/opa/pr/doc-antle-owner-myrtle-beach-safari-sentenced-federal-wildlife-trafficking-and-money,2025-07-08,English,Official enforcement,High,
SRC-000052,U.S. Department of Justice,"Doc Antle, owner of Myrtle Beach Safari, and others indicted for federal wildlife trafficking and money laundering",https://www.justice.gov/archives/opa/pr/doc-antle-owner-myrtle-beach-safari-and-others-indicted-federal-wildlife-trafficking-and,2022-06-30,English,Official enforcement,High,Indictment-stage allegation; this source alone does not establish guilt.
SRC-000053,U.S. Department of Justice,"Doc Antle, owner of Myrtle Beach Safari, pleads guilty to federal wildlife trafficking and money laundering",https://www.justice.gov/archives/opa/pr/doc-antle-owner-myrtle-beach-safari-pleads-guilty-federal-wildlife-trafficking-and-money,2023-11-06,English,Official enforcement,High,Connected entity only. The cited source does not state the nonprofit itself was charged or convicted.
SRC-000054,U.S. Department of Justice,Florida man pleads guilty to trafficking in CITES-protected water monitor lizards,https://www.justice.gov/usao-mdfl/pr/florida-man-pleads-guilty-trafficking-cites-protected-water-monitor-lizards,2020-01-08,English,Official enforcement,High,
SRC-000055,U.S. Department of Justice,Environmental Crimes Bulletin - April 2025,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-april-2025,2025-04-10,English,Official enforcement,High,
SRC-000056,U.S. Department of Justice,Environmental Crimes Bulletin - October 2025,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-october-2025,2025-10-23,English,Official enforcement,High,
SRC-000057,U.S. Department of Justice,Environmental Crimes Bulletin - February 2025,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-february-2025,2025-02-10,English,Official enforcement,High,
SRC-000058,U.S. Department of Justice,Environmental Crimes Bulletin - September 2025,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-september-2025,2025-09-02,English,Official enforcement,High,
SRC-000059,U.S. Department of Justice,Environmental Crimes Bulletin - March 2026,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-march-2026,2026-03-23,English,Official enforcement bulletin,High,
SRC-000060,U.S. Department of Justice,Environmental Crimes Bulletin - November and December 2025,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-november-and-december-2025,2025-11-14,English,Official enforcement bulletin,High,Indictment-stage allegation.
SRC-000061,U.S. Department of Justice,California man arrested for violating Lacey Act for plot to illegally export trafficked turtles,https://www.justice.gov/opa/pr/california-man-arrested-violating-lacey-act-plot-illegally-export-trafficked-turtles,2026-05-15,English,Official enforcement,High,Pending charges; allegations are not proof of guilt.
SRC-000062,U.S. Department of Justice,Louisiana man detained on turtle trafficking charges,https://www.justice.gov/opa/pr/louisiana-man-detained-turtle-trafficking-charges,2026-05-07,English,Official enforcement,High,Pending charges; allegations are not proof of guilt.
SRC-000063,U.S. Department of Justice,Two Chinese nationals plead guilty to trafficking turtles to Hong Kong,https://www.justice.gov/opa/pr/two-chinese-nationals-plead-guilty-trafficking-turtles-hong-kong,2026-07-23,English,Official enforcement,High,
SRC-000064,U.S. Department of Justice,Chinese national sentenced to prison for trafficking reptiles,https://www.justice.gov/opa/pr/chinese-national-sentenced-prison-trafficking-reptiles,2025-12-24,English,Official enforcement,High,
SRC-000065,U.S. Department of Justice,Chinese national sentenced for smuggling turtles from the United States to Hong Kong,https://www.justice.gov/opa/pr/chinese-national-sentenced-smuggling-turtles-united-states-hong-kong,2025-03-14,English,Official enforcement,High,
SRC-000066,U.S. Department of Justice,The Monkey Whisperer sentenced to federal prison for trafficking primates while on probation,https://www.justice.gov/usao-mdfl/pr/monkey-whisperer-sentenced-federal-prison-trafficking-primates-while-probation-same,2026-03-26,English,Official enforcement,High,
SRC-000067,U.S. Department of Justice,Man known as The Monkey Whisperer and his brother indicted for illegal trafficking of monkeys,https://www.justice.gov/usao-mdfl/pr/man-known-monkey-whisperer-and-his-brother-indicted-illegal-trafficking-monkeys,2024-11-15,English,Official enforcement,High,Indictment-stage allegation.
SRC-000068,U.S. Department of Justice,Florida man known as The Monkey Whisperer sentenced for trafficking protected primates,https://www.justice.gov/usao-mdfl/pr/florida-man-known-monkey-whisperer-sentenced-trafficking-protected-primates,2022-06-09,English,Official enforcement,High,Connected business; source establishes the owner's conviction.
SRC-000069,U.S. Department of Justice,Florida man who trafficked in Florida box turtles and other turtles pleads guilty,https://www.justice.gov/usao-mdfl/pr/florida-man-who-trafficked-florida-box-turtles-loggerhead-musk-turtles-and-ornate,2023-11-17,English,Official enforcement,High,
SRC-000070,U.S. Department of Justice,Environmental Crimes Bulletin - May 2026,https://www.justice.gov/enrd/blog/environmental-crimes-bulletin-may-2026,2026-05-22,English,Official enforcement bulletin,High,
SRC-000071,Earth League International,Bolivia arrests top jaguar traffickers,https://earthleagueinternational.org/2021/10/31/bolivia-arrests-top-jaguar-traffickers/,2021-10-31,English,NGO investigation / enforcement support,Medium,NGO reporting of arrests and alleged trafficking. Some names are published only in partial form.
SRC-000072,Mongabay,Brazil police seize devices from bird expert in trafficking probe linked to Vantara zoo,https://news.mongabay.com/2026/05/brazil-police-seize-devices-from-bird-expert-in-trafficking-probe-linked-to-vantara-zoo/,2026-05-07,English,Investigative news,Medium,Investigative action only. The cited 2026 report does not establish guilt in the current probe.
